"Brand_Reg","Count(SoldIn)"
"SAMSUNG",980
"LG",677
"K",432
"HISENSE",263
"KOGAN",246
"EKO",189
"S",188
"",133
"JVC",122
"PHILIPS",118
"SYLVOX",99
"BLAUPUNKT",98
"TCL",91
"BAUHN",73
"SONY",65
"EMETE",55
"C",50
"TOSHIBA",50
"CHQ",47
"AIWA",44
"L",43
"AKAI",38
"ENGLAON",32
"S E",29
"LOEWE",27
"FFALCON",26
"WALTON",24
"TELEFUNKEN",17
"SKYWORTH",16
"ILUMA",14
"P",14
"B",13
"CAIXUN",12
"DGTEC",12
"HYUNDAI",12
"QBELL",11
"TEAC",11
"SHARP",10
"TECO",10
"BELGIQUE",9
"KONKA",8
"PRISM+",8
"VEON",7
"A",6
"SVISION",6
"AOA",5
"METZ",5
"MYVI",5
"SMTV",5
"FURRION",4
"M",4
"S X T C., L",4
"ZEN TV",4
"A I",3
"FPD",3
"SMARTTECH",3
"V",3
"COOCAA",2
"G",2
"H G",2
"Q.B",2
"THOMSON",2
"D",1
"DEVANT",1
"DEVANTI",1
"H",1
"LSP TV",1
"RCA",1
"S C",1
"S VISION",1
"SONIQ",1
"STV",1
"TAVICE",1
"TENET",1
"VDT",1
"WINTAL",1
"Y",1
